flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_numbers,receiving_packets_numbers,sending_packets_numbers,total_bytes,receiving_bytes,sending_bytes,packets_rate,packets_len_rate,min_packets_len,max_packets_len,mean_packets_len,standard_deviation_packets_len,variance_packets_len,coefficient_of_variation_packets_len,dns_domain_name,dns_top_level_domain,dns_second_level_domain,dns_domain_name_length,dns_subdomain_name_length,uni_gram_domain_name,bi_gram_domain_name,tri_gram_domain_name,numerical_percentage,character_distribution,character_entropy,max_continuous_numeric_len,max_continuous_alphabet_len,max_continuous_consonants_len,max_continuous_same_alphabet_len,vowels_consonant_ratio,conv_freq_vowels_consonants,distinct_ttl_values,ttl_values_min,ttl_values_max,ttl_values_mean,ttl_values_mode,ttl_values_median,distinct_A_records,distinct_NS_records,ans_resource_record_type,ans_resource_record_class,label
2025-03-06 10:19:26.739736_192.168.0.10_10223_8.8.8.8_53_27788,2025-03-06 10:19:26.739736,192.168.0.10,10223,8.8.8.8,53,DNS,1.00000,2,1,1,302,143,159,2.00000,302.00000,143,159,151.00000,8.00000,64.00000,0.05298,de9186ef.grp3.notice.eec79fc2e9f9ccf9.ns.a23-33-37-54-deploy-akamaitechnologies.com.,com,a23-33-37-54-deploy-akamaitechnologies.com,84,8,"['d', 'e', '9', '1', '8', '6', 'e', 'f', '.', 'g', 'r', 'p', '3', '.', 'n', 'o', 't', 'i', 'c', 'e', '.', 'e', 'e', 'c', '7', '9', 'f', 'c', '2', 'e', '9', 'f', '9', 'c', 'c', 'f', '9', '.', 'n', 's', '.', 'a', '2', '3', '-', '3', '3', '-', '3', '7', '-', '5', '4', '-', 'd', 'e', 'p', 'l', 'o', 'y', '-', 'a', 'k', 'a', 'm', 'a', 'i', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'e', 's', '.', 'c', 'o', 'm', '.']","['de', 'e9', '91', '18', '86', '6e', 'ef', 'f.', '.g', 'gr', 'rp', 'p3', '3.', '.n', 'no', 'ot', 'ti', 'ic', 'ce', 'e.', '.e', 'ee', 'ec', 'c7', '79', '9f', 'fc', 'c2', '2e', 'e9', '9f', 'f9', '9c', 'cc', 'cf', 'f9', '9.', '.n', 'ns', 's.', '.a', 'a2', '23', '3-', '-3', '33', '3-', '-3', '37', '7-', '-5', '54', '4-', '-d', 'de', 'ep', 'pl', 'lo', 'oy', 'y-', '-a', 'ak', 'ka', 'am', 'ma', 'ai', 'it', 'te', 'ec', 'ch', 'hn', 'no', 'ol', 'lo', 'og', 'gi', 'ie', 'es', 's.', '.c', 'co', 'om', 'm.']","['de9', 'e91', '918', '186', '86e', '6ef', 'ef.', 'f.g', '.gr', 'grp', 'rp3', 'p3.', '3.n', '.no', 'not', 'oti', 'tic', 'ice', 'ce.', 'e.e', '.ee', 'eec', 'ec7', 'c79', '79f', '9fc', 'fc2', 'c2e', '2e9', 'e9f', '9f9', 'f9c', '9cc', 'ccf', 'cf9', 'f9.', '9.n', '.ns', 'ns.', 's.a', '.a2', 'a23', '23-', '3-3', '-33', '33-', '3-3', '-37', '37-', '7-5', '-54', '54-', '4-d', '-de', 'dep', 'epl', 'plo', 'loy', 'oy-', 'y-a', '-ak', 'aka', 'kam', 'ama', 'mai', 'ait', 'ite', 'tec', 'ech', 'chn', 'hno', 'nol', 'olo', 'log', 'ogi', 'gie', 'ies', 'es.', 's.c', '.co', 'com', 'om.']",0.2261904761904762,"{'5': 1, 'd': 2, 'c': 7, 'p': 2, '9': 5, '4': 1, 'o': 5, 'k': 1, 'r': 1, 't': 2, '1': 1, 'g': 2, 's': 2, '3': 5, 'a': 4, 'e': 9, '-': 5, '7': 2, 'l': 2, 'h': 1, 'y': 1, 'm': 2, 'n': 3, '2': 2, '.': 7, 'i': 3, 'f': 4, '8': 1, '6': 1}",4.5139765796375535,4,18,3,2,0.65625,0.3373493975903614,1,3600,3600,3600.00000,3600.00000,3600.00000,1,0,[1],[1],Malicious
2025-03-06 10:19:28.739736_192.168.0.10_22639_8.8.8.8_53_36156,2025-03-06 10:19:28.739736,192.168.0.10,22639,8.8.8.8,53,DNS,1.00000,2,1,1,394,189,205,2.00000,394.00000,189,205,197.00000,8.00000,64.00000,0.04061,de9186ef.grp3.ping.adm.cdd2e9d2e9cde9cdd2cd.cdc4cde9cdded2e9fcfce9defe.f0e197ecfdec.ns.a23-33-37-54-deploy-akamaitechnologies.com.,com,a23-33-37-54-deploy-akamaitechnologies.com,130,8,"['d', 'e', '9', '1', '8', '6', 'e', 'f', '.', 'g', 'r', 'p', '3', '.', 'p', 'i', 'n', 'g', '.', 'a', 'd', 'm', '.', 'c', 'd', 'd', '2', 'e', '9', 'd', '2', 'e', '9', 'c', 'd', 'e', '9', 'c', 'd', 'd', '2', 'c', 'd', '.', 'c', 'd', 'c', '4', 'c', 'd', 'e', '9', 'c', 'd', 'd', 'e', 'd', '2', 'e', '9', 'f', 'c', 'f', 'c', 'e', '9', 'd', 'e', 'f', 'e', '.', 'f', '0', 'e', '1', '9', '7', 'e', 'c', 'f', 'd', 'e', 'c', '.', 'n', 's', '.', 'a', '2', '3', '-', '3', '3', '-', '3', '7', '-', '5', '4', '-', 'd', 'e', 'p', 'l', 'o', 'y', '-', 'a', 'k', 'a', 'm', 'a', 'i', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'e', 's', '.', 'c', 'o', 'm', '.']","['de', 'e9', '91', '18', '86', '6e', 'ef', 'f.', '.g', 'gr', 'rp', 'p3', '3.', '.p', 'pi', 'in', 'ng', 'g.', '.a', 'ad', 'dm', 'm.', '.c', 'cd', 'dd', 'd2', '2e', 'e9', '9d', 'd2', '2e', 'e9', '9c', 'cd', 'de', 'e9', '9c', 'cd', 'dd', 'd2', '2c', 'cd', 'd.', '.c', 'cd', 'dc', 'c4', '4c', 'cd', 'de', 'e9', '9c', 'cd', 'dd', 'de', 'ed', 'd2', '2e', 'e9', '9f', 'fc', 'cf', 'fc', 'ce', 'e9', '9d', 'de', 'ef', 'fe', 'e.', '.f', 'f0', '0e', 'e1', '19', '97', '7e', 'ec', 'cf', 'fd', 'de', 'ec', 'c.', '.n', 'ns', 's.', '.a', 'a2', '23', '3-', '-3', '33', '3-', '-3', '37', '7-', '-5', '54', '4-', '-d', 'de', 'ep', 'pl', 'lo', 'oy', 'y-', '-a', 'ak', 'ka', 'am', 'ma', 'ai', 'it', 'te', 'ec', 'ch', 'hn', 'no', 'ol', 'lo', 'og', 'gi', 'ie', 'es', 's.', '.c', 'co', 'om', 'm.']","['de9', 'e91', '918', '186', '86e', '6ef', 'ef.', 'f.g', '.gr', 'grp', 'rp3', 'p3.', '3.p', '.pi', 'pin', 'ing', 'ng.', 'g.a', '.ad', 'adm', 'dm.', 'm.c', '.cd', 'cdd', 'dd2', 'd2e', '2e9', 'e9d', '9d2', 'd2e', '2e9', 'e9c', '9cd', 'cde', 'de9', 'e9c', '9cd', 'cdd', 'dd2', 'd2c', '2cd', 'cd.', 'd.c', '.cd', 'cdc', 'dc4', 'c4c', '4cd', 'cde', 'de9', 'e9c', '9cd', 'cdd', 'dde', 'ded', 'ed2', 'd2e', '2e9', 'e9f', '9fc', 'fcf', 'cfc', 'fce', 'ce9', 'e9d', '9de', 'def', 'efe', 'fe.', 'e.f', '.f0', 'f0e', '0e1', 'e19', '197', '97e', '7ec', 'ecf', 'cfd', 'fde', 'dec', 'ec.', 'c.n', '.ns', 'ns.', 's.a', '.a2', 'a23', '23-', '3-3', '-33', '33-', '3-3', '-37', '37-', '7-5', '-54', '54-', '4-d', '-de', 'dep', 'epl', 'plo', 'loy', 'oy-', 'y-a', '-ak', 'aka', 'kam', 'ama', 'mai', 'ait', 'ite', 'tec', 'ech', 'chn', 'hno', 'nol', 'olo', 'log', 'ogi', 'gie', 'ies', 'es.', 's.c', '.co', 'com', 'om.']",0.2153846153846154,"{'5': 1, 'd': 17, '0': 1, 'c': 14, 'p': 3, '9': 8, '4': 2, 'o': 4, 'k': 1, 'r': 1, 't': 1, '1': 2, 'g': 3, 's': 2, '3': 5, 'a': 5, 'e': 17, '-': 5, '7': 2, 'l': 2, 'h': 1, 'y': 1, 'm': 3, 'n': 3, '2': 5, '.': 10, 'i': 3, 'f': 6, '8': 1, '6': 1}",4.305300421697046,4,18,4,2,0.5,0.2992125984251969,1,3600,3600,3600.00000,3600.00000,3600.00000,1,0,[1],[1],Malicious
2025-03-06 10:19:30.739736_192.168.0.10_9908_8.8.8.8_53_62468,2025-03-06 10:19:30.739736,192.168.0.10,9908,8.8.8.8,53,DNS,1.00000,2,1,1,618,301,317,2.00000,618.00000,301,317,309.00000,8.00000,64.00000,0.02589,de9186ef.grp3.tt1.dcdccdc4dcc8e8d2dec4c8d2e8c8e8fc.d8c3ced8c3cec3e792fdeded97cee9e9e9e9e9e9e9e9e9e9e9e9e9e9e3d2.defec4fcdec8d0dee8d0fcdce8fec8d2c8cdcdcdfcdedefec8c4ded0dcde95.fee8fefcc8d2e8dcc8cd.ns.a23-33-37-54-deploy-akamaitechnologies.com.,com,a23-33-37-54-deploy-akamaitechnologies.com,242,8,"['d', 'e', '9', '1', '8', '6', 'e', 'f', '.', 'g', 'r', 'p', '3', '.', 't', 't', '1', '.', 'd', 'c', 'd', 'c', 'c', 'd', 'c', '4', 'd', 'c', 'c', '8', 'e', '8', 'd', '2', 'd', 'e', 'c', '4', 'c', '8', 'd', '2', 'e', '8', 'c', '8', 'e', '8', 'f', 'c', '.', 'd', '8', 'c', '3', 'c', 'e', 'd', '8', 'c', '3', 'c', 'e', 'c', '3', 'e', '7', '9', '2', 'f', 'd', 'e', 'd', 'e', 'd', '9', '7', 'c', 'e', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '3', 'd', '2', '.', 'd', 'e', 'f', 'e', 'c', '4', 'f', 'c', 'd', 'e', 'c', '8', 'd', '0', 'd', 'e', 'e', '8', 'd', '0', 'f', 'c', 'd', 'c', 'e', '8', 'f', 'e', 'c', '8', 'd', '2', 'c', '8', 'c', 'd', 'c', 'd', 'c', 'd', 'f', 'c', 'd', 'e', 'd', 'e', 'f', 'e', 'c', '8', 'c', '4', 'd', 'e', 'd', '0', 'd', 'c', 'd', 'e', '9', '5', '.', 'f', 'e', 'e', '8', 'f', 'e', 'f', 'c', 'c', '8', 'd', '2', 'e', '8', 'd', 'c', 'c', '8', 'c', 'd', '.', 'n', 's', '.', 'a', '2', '3', '-', '3', '3', '-', '3', '7', '-', '5', '4', '-', 'd', 'e', 'p', 'l', 'o', 'y', '-', 'a', 'k', 'a', 'm', 'a', 'i', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'e', 's', '.', 'c', 'o', 'm', '.']","['de', 'e9', '91', '18', '86', '6e', 'ef', 'f.', '.g', 'gr', 'rp', 'p3', '3.', '.t', 'tt', 't1', '1.', '.d', 'dc', 'cd', 'dc', 'cc', 'cd', 'dc', 'c4', '4d', 'dc', 'cc', 'c8', '8e', 'e8', '8d', 'd2', '2d', 'de', 'ec', 'c4', '4c', 'c8', '8d', 'd2', '2e', 'e8', '8c', 'c8', '8e', 'e8', '8f', 'fc', 'c.', '.d', 'd8', '8c', 'c3', '3c', 'ce', 'ed', 'd8', '8c', 'c3', '3c', 'ce', 'ec', 'c3', '3e', 'e7', '79', '92', '2f', 'fd', 'de', 'ed', 'de', 'ed', 'd9', '97', '7c', 'ce', 'ee', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e3', '3d', 'd2', '2.', '.d', 'de', 'ef', 'fe', 'ec', 'c4', '4f', 'fc', 'cd', 'de', 'ec', 'c8', '8d', 'd0', '0d', 'de', 'ee', 'e8', '8d', 'd0', '0f', 'fc', 'cd', 'dc', 'ce', 'e8', '8f', 'fe', 'ec', 'c8', '8d', 'd2', '2c', 'c8', '8c', 'cd', 'dc', 'cd', 'dc', 'cd', 'df', 'fc', 'cd', 'de', 'ed', 'de', 'ef', 'fe', 'ec', 'c8', '8c', 'c4', '4d', 'de', 'ed', 'd0', '0d', 'dc', 'cd', 'de', 'e9', '95', '5.', '.f', 'fe', 'ee', 'e8', '8f', 'fe', 'ef', 'fc', 'cc', 'c8', '8d', 'd2', '2e', 'e8', '8d', 'dc', 'cc', 'c8', '8c', 'cd', 'd.', '.n', 'ns', 's.', '.a', 'a2', '23', '3-', '-3', '33', '3-', '-3', '37', '7-', '-5', '54', '4-', '-d', 'de', 'ep', 'pl', 'lo', 'oy', 'y-', '-a', 'ak', 'ka', 'am', 'ma', 'ai', 'it', 'te', 'ec', 'ch', 'hn', 'no', 'ol', 'lo', 'og', 'gi', 'ie', 'es', 's.', '.c', 'co', 'om', 'm.']","['de9', 'e91', '918', '186', '86e', '6ef', 'ef.', 'f.g', '.gr', 'grp', 'rp3', 'p3.', '3.t', '.tt', 'tt1', 't1.', '1.d', '.dc', 'dcd', 'cdc', 'dcc', 'ccd', 'cdc', 'dc4', 'c4d', '4dc', 'dcc', 'cc8', 'c8e', '8e8', 'e8d', '8d2', 'd2d', '2de', 'dec', 'ec4', 'c4c', '4c8', 'c8d', '8d2', 'd2e', '2e8', 'e8c', '8c8', 'c8e', '8e8', 'e8f', '8fc', 'fc.', 'c.d', '.d8', 'd8c', '8c3', 'c3c', '3ce', 'ced', 'ed8', 'd8c', '8c3', 'c3c', '3ce', 'cec', 'ec3', 'c3e', '3e7', 'e79', '792', '92f', '2fd', 'fde', 'ded', 'ede', 'ded', 'ed9', 'd97', '97c', '7ce', 'cee', 'ee9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e3', 'e3d', '3d2', 'd2.', '2.d', '.de', 'def', 'efe', 'fec', 'ec4', 'c4f', '4fc', 'fcd', 'cde', 'dec', 'ec8', 'c8d', '8d0', 'd0d', '0de', 'dee', 'ee8', 'e8d', '8d0', 'd0f', '0fc', 'fcd', 'cdc', 'dce', 'ce8', 'e8f', '8fe', 'fec', 'ec8', 'c8d', '8d2', 'd2c', '2c8', 'c8c', '8cd', 'cdc', 'dcd', 'cdc', 'dcd', 'cdf', 'dfc', 'fcd', 'cde', 'ded', 'ede', 'def', 'efe', 'fec', 'ec8', 'c8c', '8c4', 'c4d', '4de', 'ded', 'ed0', 'd0d', '0dc', 'dcd', 'cde', 'de9', 'e95', '95.', '5.f', '.fe', 'fee', 'ee8', 'e8f', '8fe', 'fef', 'efc', 'fcc', 'cc8', 'c8d', '8d2', 'd2e', '2e8', 'e8d', '8dc', 'dcc', 'cc8', 'c8c', '8cd', 'cd.', 'd.n', '.ns', 'ns.', 's.a', '.a2', 'a23', '23-', '3-3', '-33', '33-', '3-3', '-37', '37-', '7-5', '-54', '54-', '4-d', '-de', 'dep', 'epl', 'plo', 'loy', 'oy-', 'y-a', '-ak', 'aka', 'kam', 'ama', 'mai', 'ait', 'ite', 'tec', 'ech', 'chn', 'hno', 'nol', 'olo', 'log', 'ogi', 'gie', 'ies', 'es.', 's.c', '.co', 'com', 'om.']",0.28512396694214875,"{'5': 2, 'd': 34, '0': 3, 'c': 37, 'p': 2, '9': 18, '4': 5, 'o': 4, 'k': 1, 'r': 1, 't': 3, '1': 2, 'g': 2, 's': 2, '3': 9, 'a': 4, 'e': 46, '-': 5, '7': 3, 'l': 2, 'h': 1, 'y': 1, 'm': 2, 'n': 2, '2': 7, '.': 10, 'i': 2, 'f': 12, '8': 19, '6': 1}",3.9044821721048804,4,18,9,2,0.5490196078431373,0.22821576763485477,1,3600,3600,3600.00000,3600.00000,3600.00000,1,0,[1],[1],Malicious
2025-03-06 10:19:32.739736_192.168.0.10_19551_8.8.8.8_53_65296,2025-03-06 10:19:32.739736,192.168.0.10,19551,8.8.8.8,53,DNS,1.00000,2,1,1,450,217,233,2.00000,450.00000,217,233,225.00000,8.00000,64.00000,0.03556,de9186ef.grp3.tt2.fefec4fec8c4d2defec8dcfcc8dcd0fe.d2e8fecdc4c8d0dedecdfec4fefed2e8c8d2cdc4e9e9e9e9e9e9e9e9e9e9.ns.a23-33-37-54-deploy-akamaitechnologies.com.,com,a23-33-37-54-deploy-akamaitechnologies.com,158,8,"['d', 'e', '9', '1', '8', '6', 'e', 'f', '.', 'g', 'r', 'p', '3', '.', 't', 't', '2', '.', 'f', 'e', 'f', 'e', 'c', '4', 'f', 'e', 'c', '8', 'c', '4', 'd', '2', 'd', 'e', 'f', 'e', 'c', '8', 'd', 'c', 'f', 'c', 'c', '8', 'd', 'c', 'd', '0', 'f', 'e', '.', 'd', '2', 'e', '8', 'f', 'e', 'c', 'd', 'c', '4', 'c', '8', 'd', '0', 'd', 'e', 'd', 'e', 'c', 'd', 'f', 'e', 'c', '4', 'f', 'e', 'f', 'e', 'd', '2', 'e', '8', 'c', '8', 'd', '2', 'c', 'd', 'c', '4', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', 'e', '9', '.', 'n', 's', '.', 'a', '2', '3', '-', '3', '3', '-', '3', '7', '-', '5', '4', '-', 'd', 'e', 'p', 'l', 'o', 'y', '-', 'a', 'k', 'a', 'm', 'a', 'i', 't', 'e', 'c', 'h', 'n', 'o', 'l', 'o', 'g', 'i', 'e', 's', '.', 'c', 'o', 'm', '.']","['de', 'e9', '91', '18', '86', '6e', 'ef', 'f.', '.g', 'gr', 'rp', 'p3', '3.', '.t', 'tt', 't2', '2.', '.f', 'fe', 'ef', 'fe', 'ec', 'c4', '4f', 'fe', 'ec', 'c8', '8c', 'c4', '4d', 'd2', '2d', 'de', 'ef', 'fe', 'ec', 'c8', '8d', 'dc', 'cf', 'fc', 'cc', 'c8', '8d', 'dc', 'cd', 'd0', '0f', 'fe', 'e.', '.d', 'd2', '2e', 'e8', '8f', 'fe', 'ec', 'cd', 'dc', 'c4', '4c', 'c8', '8d', 'd0', '0d', 'de', 'ed', 'de', 'ec', 'cd', 'df', 'fe', 'ec', 'c4', '4f', 'fe', 'ef', 'fe', 'ed', 'd2', '2e', 'e8', '8c', 'c8', '8d', 'd2', '2c', 'cd', 'dc', 'c4', '4e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9e', 'e9', '9.', '.n', 'ns', 's.', '.a', 'a2', '23', '3-', '-3', '33', '3-', '-3', '37', '7-', '-5', '54', '4-', '-d', 'de', 'ep', 'pl', 'lo', 'oy', 'y-', '-a', 'ak', 'ka', 'am', 'ma', 'ai', 'it', 'te', 'ec', 'ch', 'hn', 'no', 'ol', 'lo', 'og', 'gi', 'ie', 'es', 's.', '.c', 'co', 'om', 'm.']","['de9', 'e91', '918', '186', '86e', '6ef', 'ef.', 'f.g', '.gr', 'grp', 'rp3', 'p3.', '3.t', '.tt', 'tt2', 't2.', '2.f', '.fe', 'fef', 'efe', 'fec', 'ec4', 'c4f', '4fe', 'fec', 'ec8', 'c8c', '8c4', 'c4d', '4d2', 'd2d', '2de', 'def', 'efe', 'fec', 'ec8', 'c8d', '8dc', 'dcf', 'cfc', 'fcc', 'cc8', 'c8d', '8dc', 'dcd', 'cd0', 'd0f', '0fe', 'fe.', 'e.d', '.d2', 'd2e', '2e8', 'e8f', '8fe', 'fec', 'ecd', 'cdc', 'dc4', 'c4c', '4c8', 'c8d', '8d0', 'd0d', '0de', 'ded', 'ede', 'dec', 'ecd', 'cdf', 'dfe', 'fec', 'ec4', 'c4f', '4fe', 'fef', 'efe', 'fed', 'ed2', 'd2e', '2e8', 'e8c', '8c8', 'c8d', '8d2', 'd2c', '2cd', 'cdc', 'dc4', 'c4e', '4e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9e', '9e9', 'e9.', '9.n', '.ns', 'ns.', 's.a', '.a2', 'a23', '23-', '3-3', '-33', '33-', '3-3', '-37', '37-', '7-5', '-54', '54-', '4-d', '-de', 'dep', 'epl', 'plo', 'loy', 'oy-', 'y-a', '-ak', 'aka', 'kam', 'ama', 'mai', 'ait', 'ite', 'tec', 'ech', 'chn', 'hno', 'nol', 'olo', 'log', 'ogi', 'gie', 'ies', 'es.', 's.c', '.co', 'com', 'om.']",0.26582278481012656,"{'5': 1, 'd': 16, '0': 2, 'c': 18, 'p': 2, '9': 11, '4': 6, 'o': 4, 'k': 1, 'r': 1, 't': 3, '1': 1, 'g': 2, 's': 2, '3': 5, 'a': 4, 'e': 29, '-': 5, '7': 1, 'l': 2, 'h': 1, 'y': 1, 'm': 2, 'n': 2, '2': 6, '.': 8, 'i': 2, 'f': 11, '8': 8, '6': 1}",4.170607881377275,4,18,5,2,0.609375,0.2948717948717949,1,3600,3600,3600.00000,3600.00000,3600.00000,1,0,[1],[1],Malicious
